Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana
ADAMANTINA,350010,0.79,3.096266,35153,411.987,0.8532550784369409,0.0063758389261744965,0.04798657718120805,0.3365464943266675,0.4128344324975465,0.521487538420989,38
ADOLFO,350020,0.73,2.586775,3545,211.055,0.16796569614555448,0.36363636363636365,0.45454545454545453,0.5761486665755462,0.6957220906957773,0.8939534807166899,76
AGUAÍ,350030,0.715,2.804103,36981,474.554,0.7792790704535206,0.009204114780725501,0.04981050351922036,0.27172613376757604,0.33004976139742676,0.3903730999485319,37
ÁGUAS DA PRATA,350040,0.781,2.068388,8262,142.673,0.5790864424242849,0.009819967266775777,0.03927986906710311,0.3096090102166163,0.39686131869924474,0.4739025174232905,41
ÁGUAS DE LINDÓIA,350050,0.745,2.642734,18908,60.126,3.1447294015899945,0.004632310364794441,0.033005211349160395,0.37041977200782583,0.39329652471809623,0.4317499279618974,38
ÁGUAS DE SANTA BÁRBARA,350055,0.757,2.762094,6142,404.463,0.1518556703579808,0.375,0.625,0.37777164212024783,0.4235491100194991,0.4677562046361139,73.5
ÁGUAS DE SÃO PEDRO,350060,0.854,4.02209,3588,3.612,9.933554817275747,0.4,0.7,0.4650595906261886,0.563785606521919,0.6888257295674912,69.5
AGUDOS,350070,0.745,5.951301,37582,966.708,0.38876268738853925,0.0061823802163833074,0.04868624420401855,0.42367712424467063,0.4182914183842536,0.34585399206805745,38
ALAMBARI,350075,0.712,1.698163,6231,159.6,0.3904135338345865,0.0022222222222222222,0.008888888888888889,0.2814543510075692,0.3276059391024867,0.39244156206582426,35.5
ALFREDO MARCONDES,350080,0.741,2.0104349999999998,4201,118.915,0.3532775511920279,0.1,0.2,0.42353277875943907,0.535905166967438,0.800682241908731,42.5
ALTAIR,350090,0.687,2.584248,4211,313.007,0.13453373247243672,0,0.6,0.22245623716447738,0.3043549155109974,0.46918360635945955,75
ALTINÓPOLIS,350100,0.73,3.0792080000000004,16221,928.956,0.17461537467867153,0.031914893617021274,0.0797872340425532,0.3993199827322533,0.7150446944398465,0.5653577426679848,42
ALTO ALEGRE,350110,0.7,2.6207290000000003,4078,318.574,0.1280079353619567,0.3333333333333333,0.8333333333333334,0.3548382208245842,0.45851410026843026,0.4838828062329581,67.5
ALUMÍNIO,350115,0.766,11.388793,18903,83.66,2.2595027492230457,0.0392156862745098,0.3333333333333333,0.2803537122963696,0.32379980416820814,0.21434152247488353,52
ÁLVARES FLORENCE,350120,0.728,3.22457,3616,362.411,0.09977622092044668,0.1111111111111111,0.16666666666666666,0.4402783279021541,0.5442607753315768,0.6599194833778838,43
ÁLVARES MACHADO,350130,0.758,2.137406,25078,347.647,0.7213639122443167,0.00681044267877412,0.05561861520998865,0.30880479649038606,0.3722879869688828,0.44558160804079916,37
ÁLVARO DE CARVALHO,350140,0.688,0.963245,5320,153.662,0.34621441865913494,0,0.030303030303030304,0.5207486925371219,0.5943748705070565,0.6021772659180166,35
ALVINLÂNDIA,350150,0.722,1.619038,3251,84.879,0.383015822523828,0,1,0.2702551165416266,0.34120236348912586,0.2949255391443356,77
AMERICANA,350160,0.811,4.779348000000001,244370,133.912,18.248551287412628,0.248,0.43466666666666665,0.28379269733519996,0.3280429988397189,0.3057541996968186,60
AMÉRICO BRASILIENSE,350170,0.751,2.4008700000000003,41545,122.958,3.378796011646253,0.0053475935828877,0.14866310160427806,0.21290843238779533,0.2531027184294609,0.3601677623825746,36
AMÉRICO DE CAMPOS,350180,0.745,1.976704,5993,252.876,0.23699362533415588,0.019230769230769232,0.0673076923076923,0.3169061862149891,0.42506975523154655,0.6418949213294877,32
AMPARO,350190,0.785,6.480487999999999,73145,445.323,1.64251565717468,0.012752391073326248,0.04250797024442083,0.32099413850804864,0.39689582663443373,0.4314408945644195,37
ANALÂNDIA,350200,0.754,3.729853,5115,325.953,0.15692446457004539,0,0.023255813953488372,0.24914315763732134,0.3145529379208121,0.2976954236040048,39
ANDRADINA,350210,0.779,3.366169,57245,964.226,0.5936886165691446,0.006799294887937547,0.022916142029715435,0.34020072056143097,0.3984617868056521,0.42347481785948415,39
ANGATUBA,350220,0.719,4.038656,25724,1027.288,0.250406896605431,0.08247422680412371,0.36082474226804123,0.36746387953394294,0.3220861915509897,0.2997428733177359,53
ANHEMBI,350230,0.721,2.714444,6911,736.557,0.0938284477643957,0.030303030303030304,0.06060606060606061,0.26679278824957936,0.3179373903604745,0.3757304837579671,42
ANHUMAS,350240,0.741,1.831706,4172,320.84,0.13003366163819974,0.1875,0.3125,0.31583731883224553,0.4095635924053651,0.3622488180797039,61.5
APARECIDA,350250,0.755,2.9969650000000003,36211,120.89,2.9953676896352057,0.12280701754385964,0.47368421052631576,0.2974742916112172,0.31695518456720206,0.3247492309857071,66
APARECIDA D'OESTE,350260,0.721,3.036595,4122,179.004,0.23027418381712142,0,0.0041753653444676405,0.7556450147307163,0.8196168512330623,0.7423274621423245,38
APIAÍ,350270,0.71,2.4247229999999997,24081,974.322,0.24715648420132155,0.5,0.5,0.36350677055660674,0.4205377418885147,0.4825067673210586,59.5
ARAÇARIGUAMA,350275,0.704,14.966866,23343,145.204,1.6076003415883857,0,0.04261363636363636,0.2712360624316179,0.27864720766138024,0.2456907039411213,36
ARAÇATUBA,350280,0.788,3.7521169999999997,199210,1167.126,1.7068422775261627,0.004438338793194547,0.043960688999260276,0.32972999631018013,0.3548743262712342,0.364127645419519,37
