Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana
ASSIS,350400,0.805,3.244396,105768,460.609,2.2962642935765474,0.01910828025477707,0.1408351026185421,NA,NA,NA,41
ATIBAIA,350410,0.765,5.049862,145378,478.521,3.038069384624708,0.030303030303030304,0.15702479338842976,NA,NA,NA,41
AURIFLAMA,350420,0.773,2.015543,15316,434.498,0.3524987456789214,0.027707808564231738,0.20654911838790932,NA,NA,NA,42
AVAÍ,350430,0.714,5.064408,5467,540.689,0.10111172966344795,0.018867924528301886,0.2641509433962264,NA,NA,NA,44
AVANHANDAVA,350440,0.705,2.378213,14063,338.37,0.41561013092177207,0.018433179723502304,0.06451612903225806,NA,NA,NA,34
AVARÉ,350450,0.767,3.0391619999999997,91792,1213.055,0.7567010564236576,0.02346805736636245,0.09778357235984354,NA,NA,NA,39
BADY BASSITT,350460,0.746,2.050481,18013,110.372,1.6320262385387598,0.023755656108597284,0.1832579185520362,NA,NA,NA,38.5
BALBINOS,350470,0.669,1.040542,6127,91.635,0.6686309816118294,0.02912621359223301,0.1553398058252427,NA,NA,NA,36
BÁLSAMO,350480,0.756,2.257502,9209,149.881,0.6144207738138924,0.04690431519699812,0.2176360225140713,NA,NA,NA,43
BANANAL,350490,0.733,1.693775,11039,616.429,0.17907982914496237,0.007194244604316547,0.04316546762589928,NA,NA,NA,41
BARÃO DE ANTONINA,350500,0.711,1.54826,3525,153.142,0.23017852711862194,0.045454545454545456,0.18181818181818182,NA,NA,NA,41.5
BARBOSA,350510,0.699,1.2939479999999999,7532,205.212,0.3670350661754674,0.009174311926605505,0.10091743119266056,NA,NA,NA,40
BARIRI,350520,0.75,3.318553,35844,444.405,0.8065615823404327,0.024752475247524754,0.13564356435643565,NA,NA,NA,40
BARRA BONITA,350530,0.788,3.550064,36125,150.121,2.406392176977238,0.02577319587628866,0.1865979381443299,NA,NA,NA,41
BARRA DO CHAPÉU,350535,0.66,1.4278540000000002,5794,405.681,0.14282157655892191,0,0.1346153846153846,NA,NA,NA,39
BARRA DO TURVO,350540,0.641,1.184074,7606,1007.684,0.07548001159093526,0.031746031746031744,0.1111111111111111,NA,NA,NA,39
BARRETOS,350550,0.789,4.004622,123546,1566.161,0.7888461020291017,0.033200531208499334,0.15338645418326693,NA,NA,NA,39
BARRINHA,350560,0.725,1.5960290000000001,33537,146.025,2.2966615305598355,0.03778040141676505,0.15938606847697756,NA,NA,NA,39
BARUERI,350570,0.786,18.638233,279704,65.701,42.57225917413738,0.05530216647662486,0.17559863169897377,NA,NA,NA,41
BASTOS,350580,0.751,4.579198,20952,170.912,1.2258940273357049,0.04032258064516129,0.18548387096774194,NA,NA,NA,41
BATATAIS,350590,0.761,2.563634,63438,849.526,0.7467458323818223,0.04985337243401759,0.21407624633431085,NA,NA,NA,42
BAURU,350600,0.801,3.912144,381706,667.684,5.716866062388794,0.01998375304630382,0.1419983753046304,NA,NA,NA,39
BEBEDOURO,350610,0.78,4.319116999999999,77612,683.192,1.1360203281068866,0.03391107761868877,0.11981914091936699,NA,NA,NA,40
BENTO DE ABREU,350620,0.744,5.669961,3028,301.687,0.10036892540944754,0,0.34210526315789475,NA,NA,NA,36
BERNARDINO DE CAMPOS,350630,0.734,1.9777189999999998,11168,244.158,0.45740872713570724,0.02702702702702703,0.13513513513513514,NA,NA,NA,38
BERTIOGA,350635,0.73,2.738429,66154,491.546,1.345835384684241,0.02509147935180345,0.1228437009932044,NA,NA,NA,40
BILAC,350640,0.768,2.428498,8197,158.025,0.5187153931339978,0.021052631578947368,0.11578947368421053,NA,NA,NA,39
BIRIGUI,350650,0.78,2.7268689999999998,126094,530.031,2.378992926828808,0.03568464730290456,0.1887966804979253,NA,NA,NA,41
