Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana,Doses_diárias
ARUJÁ,350390,0.784,6.958809,92453,96.167,9.613796832593302,0.045180722891566265,0.1549053356282272,NA,NA,NA,41,NA
ASPÁSIA,350395,0.735,1.9290580000000002,1815,69.373,0.2616291640840096,0.04081632653061224,0.2857142857142857,NA,NA,NA,37,NA
ASSIS,350400,0.805,3.244396,105768,460.609,2.2962642935765474,0.01901840490797546,0.13865030674846626,NA,NA,NA,41,NA
ATIBAIA,350410,0.765,5.049862,145378,478.521,3.038069384624708,0.026778577138289367,0.1542765787370104,NA,NA,NA,41,NA
AURIFLAMA,350420,0.773,2.015543,15316,434.498,0.3524987456789214,0.026515151515151516,0.20265151515151514,NA,NA,NA,41,NA
AVAÍ,350430,0.714,5.064408,5467,540.689,0.10111172966344795,0.025,0.26666666666666666,NA,NA,NA,44,NA
AVANHANDAVA,350440,0.705,2.378213,14063,338.37,0.41561013092177207,0.0326530612244898,0.07346938775510205,NA,NA,NA,35,NA
AVARÉ,350450,0.767,3.0391619999999997,91792,1213.055,0.7567010564236576,0.022629310344827586,0.09051724137931035,NA,NA,NA,38,NA
BADY BASSITT,350460,0.746,2.050481,18013,110.372,1.6320262385387598,0.022593320235756387,0.18369351669941061,NA,NA,NA,38,NA
BALBINOS,350470,0.669,1.040542,6127,91.635,0.6686309816118294,0.028037383177570093,0.14953271028037382,NA,NA,NA,36,NA
BÁLSAMO,350480,0.756,2.257502,9209,149.881,0.6144207738138924,0.04609929078014184,0.2127659574468085,NA,NA,NA,42.5,NA
BANANAL,350490,0.733,1.693775,11039,616.429,0.17907982914496237,0.006896551724137931,0.041379310344827586,NA,NA,NA,41,NA
BARÃO DE ANTONINA,350500,0.711,1.54826,3525,153.142,0.23017852711862194,0.041666666666666664,0.25,NA,NA,NA,42.5,NA
BARBOSA,350510,0.699,1.2939479999999999,7532,205.212,0.3670350661754674,0.007874015748031496,0.10236220472440945,NA,NA,NA,39,NA
BARIRI,350520,0.75,3.318553,35844,444.405,0.8065615823404327,0.026293469041560644,0.13316369804919423,NA,NA,NA,41,NA
BARRA BONITA,350530,0.788,3.550064,36125,150.121,2.406392176977238,0.02254283137962128,0.17493237150586113,NA,NA,NA,42,NA
BARRA DO CHAPÉU,350535,0.66,1.4278540000000002,5794,405.681,0.14282157655892191,0,0.1320754716981132,NA,NA,NA,39,NA
BARRA DO TURVO,350540,0.641,1.184074,7606,1007.684,0.07548001159093526,0.030120481927710843,0.10240963855421686,NA,NA,NA,40,NA
BARRETOS,350550,0.789,4.004622,123546,1566.161,0.7888461020291017,0.031079717457114027,0.15095862764883955,NA,NA,NA,39,NA
BARRINHA,350560,0.725,1.5960290000000001,33537,146.025,2.2966615305598355,0.03926096997690531,0.1605080831408776,NA,NA,NA,39,NA
BARUERI,350570,0.786,18.638233,279704,65.701,42.57225917413738,0.049826904055390704,0.1687685459940653,NA,NA,NA,41,NA
BASTOS,350580,0.751,4.579198,20952,170.912,1.2258940273357049,0.02843601895734597,0.2132701421800948,NA,NA,NA,42,NA
BATATAIS,350590,0.761,2.563634,63438,849.526,0.7467458323818223,0.047058823529411764,0.20784313725490197,NA,NA,NA,42,NA
BAURU,350600,0.801,3.912144,381706,667.684,5.716866062388794,0.01900370292740865,0.14120030741284148,NA,NA,NA,39,NA
BEBEDOURO,350610,0.78,4.319116999999999,77612,683.192,1.1360203281068866,0.03154362416107383,0.11879194630872483,NA,NA,NA,40,NA
BENTO DE ABREU,350620,0.744,5.669961,3028,301.687,0.10036892540944754,0,0.325,NA,NA,NA,36,NA
BERNARDINO DE CAMPOS,350630,0.734,1.9777189999999998,11168,244.158,0.45740872713570724,0.02459016393442623,0.1557377049180328,NA,NA,NA,37.5,NA
