Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana
ADAMANTINA,350010,0.79,3.096266,35153,411.987,0.8532550784369409,0.02702702702702703,0.10810810810810811,0.37786972810475067,0.4302140994811319,0.4186959569921577,32
ADOLFO,350020,0.73,2.586775,3545,211.055,0.16796569614555448,0,1,0.5774839550008543,0.6711711972213126,0.6958502402034054,62
AGUAÍ,350030,0.715,2.804103,36981,474.554,0.7792790704535206,0.03571428571428571,0.07142857142857142,0.29536034878383693,0.3387456394112689,0.20306742700727534,38
ÁGUAS DA PRATA,350040,0.781,2.068388,8262,142.673,0.5790864424242849,0.125,0.3125,0.3464839269227389,0.41972380368484624,0.35425525148272835,66
ÁGUAS DE LINDÓIA,350050,0.745,2.642734,18908,60.126,3.1447294015899945,0.0625,0.25,0.4162016513548489,0.42135160548924494,0.25231922062885953,48.5
AGUDOS,350070,0.745,5.951301,37582,966.708,0.38876268738853925,0,0,0.45956868878528045,0.42160293061693555,0.25323136389271583,40
ALAMBARI,350075,0.712,1.698163,6231,159.6,0.3904135338345865,0,0,0.30467739049926656,0.33147419237937376,0.12503133097194613,70
ALFREDO MARCONDES,350080,0.741,2.0104349999999998,4201,118.915,0.3532775511920279,0,1,0.44602852790263575,0.5404030808097199,0.592353848086621,91
ALTINÓPOLIS,350100,0.73,3.0792080000000004,16221,928.956,0.17461537467867153,0,0,0.3884332277663474,0.49638564791097717,0.4729893497150713,31
ALUMÍNIO,350115,0.766,11.388793,18903,83.66,2.2595027492230457,0.25,0.5,0.29921011214115273,0.3387290476015407,0.13748713314302954,66.5
ÁLVARES MACHADO,350130,0.758,2.137406,25078,347.647,0.7213639122443167,0.0196078431372549,0.09803921568627451,0.3324186623203653,0.37587209691435136,0.2678614634916475,39
ÁLVARO DE CARVALHO,350140,0.688,0.963245,5320,153.662,0.34621441865913494,0,0,0.5481135096174774,0.5897960064568939,0.22204798039469942,30
ALVINLÂNDIA,350150,0.722,1.619038,3251,84.879,0.383015822523828,0,1,0.30906080183152207,0.3749152052031896,0.24613600074072825,74
AMERICANA,350160,0.811,4.779348000000001,244370,133.912,18.248551287412628,0.125,0.275,0.3332697228127336,0.338617081494751,0.2032160211071778,45
AMÉRICO BRASILIENSE,350170,0.751,2.4008700000000003,41545,122.958,3.378796011646253,0,0.2413793103448276,0.24071796943939852,0.2677229240195076,0.21607534405684192,34
AMPARO,350190,0.785,6.480487999999999,73145,445.323,1.64251565717468,0.09803921568627451,0.11764705882352941,0.36202321101215057,0.40086738683414,0.29755069723875455,36
ANALÂNDIA,350200,0.754,3.729853,5115,325.953,0.15692446457004539,0,0.42857142857142855,0.2849208775373679,0.3255680075039186,0.20452617559853023,50
ANDRADINA,350210,0.779,3.366169,57245,964.226,0.5936886165691446,0.03333333333333333,0.1,0.37344947925865135,0.4035602721118252,0.28351578278784556,43.5
ANGATUBA,350220,0.719,4.038656,25724,1027.288,0.250406896605431,0.07142857142857142,0.14285714285714285,0.4037270159803498,0.3315957686392738,0.13633383384536113,47
ANHEMBI,350230,0.721,2.714444,6911,736.557,0.0938284477643957,0.2,0.2,0.2918845955094194,0.3321492674109563,0.21728077389763206,42
ANHUMAS,350240,0.741,1.831706,4172,320.84,0.13003366163819974,0,1,0.3468740355921553,0.42413488647844183,0.26591341498632415,74
APARECIDA,350250,0.755,2.9969650000000003,36211,120.89,2.9953676896352057,0,0.5,0.33220418305989696,0.31902753455323235,0.17971343714113922,70
APARECIDA D'OESTE,350260,0.721,3.036595,4122,179.004,0.23027418381712142,0.5,0.5,0.7861003327051249,0.8254011781425101,0.6487527844651226,47.5
ARAÇARIGUAMA,350275,0.704,14.966866,23343,145.204,1.6076003415883857,0.023809523809523808,0.09523809523809523,0.30376455840549565,0.27388158124855416,0.04699770520688753,24
ARAÇATUBA,350280,0.788,3.7521169999999997,199210,1167.126,1.7068422775261627,0.09090909090909091,0.14545454545454545,0.35983348636291423,0.3620613041254104,0.29228576637095216,37
ARAÇOIABA DA SERRA,350290,0.776,2.573156,35389,255.327,1.3860265463503663,0.16666666666666666,0.6666666666666666,0.2992673490453716,0.30736393580150045,0.19440155939435572,71.5
ARAMINA,350300,0.74,2.2669330000000003,5689,202.829,0.2804825739908987,1,0,0.36391276559821584,0.4394709309300181,0.3211176262319551,36
ARARAQUARA,350320,0.815,4.025393,240542,1003.625,2.3967318470544274,0.15384615384615385,0.358974358974359,0.3704828949109136,0.3934512583548348,0.3040875718521546,47
ARARAS,350330,0.781,4.186392,136739,644.831,2.1205401105095754,0,0.031746031746031744,0.3291884185282589,0.3847058043178795,0.22527211342906023,36
ARCO ÍRIS,350335,0.722,2.927395,1755,264.904,0.06625041524476791,0,0.09090909090909091,0.5241051082199183,0.6498751410951409,0.6812947970554512,25
ARIRANHA,350370,0.733,7.610811999999999,9851,132.624,0.7427765713596333,0,0,0.2372226522500901,0.3208329787832926,0.33181430237453535,39
ARTUR NOGUEIRA,350380,0.749,2.215659,56247,178.026,3.159482322806781,0,0.034482758620689655,0.3067243710596345,0.34471361040497334,0.11968900569689118,43
ARUJÁ,350390,0.784,6.958809,92453,96.167,9.613796832593302,0.024390243902439025,0.12195121951219512,0.30323002958163886,0.339282364236231,0.09341278024970502,36
ASSIS,350400,0.805,3.244396,105768,460.609,2.2962642935765474,0.03225806451612903,0.16129032258064516,0.36047899817153634,0.3883753421635653,0.30935582883393065,34.5
ATIBAIA,350410,0.765,5.049862,145378,478.521,3.038069384624708,0.1875,0.8125,0.39913601976588114,0.3908670215911323,0.2907428354935605,65
AURIFLAMA,350420,0.773,2.015543,15316,434.498,0.3524987456789214,0.16666666666666666,0.5,0.27792461656829204,0.33938626302284675,0.33014933497188875,68
AVAÍ,350430,0.714,5.064408,5467,540.689,0.10111172966344795,1,0,0.2882660859466754,0.370778402409542,0.4736766441696323,82
AVANHANDAVA,350440,0.705,2.378213,14063,338.37,0.41561013092177207,0,1,0.24137553712481455,0.2903869075156013,0.15700669346643684,53
AVARÉ,350450,0.767,3.0391619999999997,91792,1213.055,0.7567010564236576,0.02040816326530612,0.04081632653061224,0.37259091925022975,0.3961099173202369,0.29939374996790585,30
BADY BASSITT,350460,0.746,2.050481,18013,110.372,1.6320262385387598,0.1111111111111111,0.1111111111111111,0.4669877797819003,0.5156883578268114,0.22038510476530848,24
BÁLSAMO,350480,0.756,2.257502,9209,149.881,0.6144207738138924,0,0,0.3482428606720157,0.4469566900375857,0.3800141721688738,16.5
BARÃO DE ANTONINA,350500,0.711,1.54826,3525,153.142,0.23017852711862194,0,0,0.3711767803561119,0.45971007502103733,0.3804195449172948,39
BARBOSA,350510,0.699,1.2939479999999999,7532,205.212,0.3670350661754674,0.2,0,0.24598872129780897,0.27025271878327606,0.22377968300801102,24
BARIRI,350520,0.75,3.318553,35844,444.405,0.8065615823404327,0,0,0.2633965521255557,0.29056220292963,0.2572987822767613,38
BARRA BONITA,350530,0.788,3.550064,36125,150.121,2.406392176977238,0,0,0.35153362993934406,0.46040815198677276,0.36339013704830175,53
BARRA DO TURVO,350540,0.641,1.184074,7606,1007.684,0.07548001159093526,0.5,0.5,0.35968892889255005,0.3242459492354653,0.30273339944503674,11
BARRETOS,350550,0.789,4.004622,123546,1566.161,0.7888461020291017,0,0,0.3743486737297125,0.4302433183455313,0.36804425635798055,36.5
BARUERI,350570,0.786,18.638233,279704,65.701,42.57225917413738,0.02891566265060241,0.14457831325301204,0.3582623373412332,0.38647322646602816,0.10525495021799493,36
BASTOS,350580,0.751,4.579198,20952,170.912,1.2258940273357049,0,0.1,0.4133713445104144,0.46987974959856454,0.3092608348026672,32
BATATAIS,350590,0.761,2.563634,63438,849.526,0.7467458323818223,0,0.22580645161290322,0.33304272808972873,0.3935573137964352,0.3165706559288382,40
BAURU,350600,0.801,3.912144,381706,667.684,5.716866062388794,0.020161290322580645,0.06048387096774194,0.34426666772238573,0.3656577230472548,0.2805172099258444,30
BEBEDOURO,350610,0.78,4.319116999999999,77612,683.192,1.1360203281068866,0,0.047619047619047616,0.36107765272147996,0.4136112267173843,0.3287114273653746,50
BERNARDINO DE CAMPOS,350630,0.734,1.9777189999999998,11168,244.158,0.45740872713570724,0,0,0.4674063989316328,0.5330611791564432,0.3789560417423921,28
BERTIOGA,350635,0.73,2.738429,66154,491.546,1.345835384684241,0.013605442176870748,0.034013605442176874,0.37874641963157124,0.336057199489798,0.20660022333606182,36
BIRIGUI,350650,0.78,2.7268689999999998,126094,530.031,2.378992926828808,0.056451612903225805,0.20967741935483872,0.31765046008831166,0.34164153176599366,0.21293892009020615,40
BIRITIBA MIRIM,350660,0.712,2.1320349999999997,33265,317.406,1.0480268173884553,1,0.6666666666666666,0.2828852791495072,0.3027249174517667,0.1341152944351767,77
BOA ESPERANÇA DO SUL,350670,0.681,2.087723,15111,690.748,0.2187628483904405,0,0,0.27567319823167974,0.34301025810019964,0.21251354466992947,37
BOCAINA,350680,0.742,1.7819209999999999,12571,363.926,0.3454273671021032,0,0,0.276524909866444,0.3517982164214626,0.2614017088467835,58
BOFETE,350690,0.705,1.6223,12107,653.541,0.1852523407100702,0,0.09090909090909091,0.27896726927598064,0.29673172333521153,0.17299592183759524,48
BOITUVA,350700,0.78,3.982936,63310,248.954,2.543040079693437,0.034482758620689655,0.034482758620689655,0.31007453061434925,0.3315958245097456,0.13231347468269358,37
BOM JESUS DOS PERDÕES,350710,0.713,3.6485980000000002,26506,108.366,2.4459701382352397,0.16666666666666666,0.16666666666666666,0.29330192528872284,0.3274127257564802,0.0696684711645831,60.5
BORÁ,350720,0.746,8.479614999999999,839,118.951,0.07053324478146464,0,0,0.5047363886615914,0.5714159565441845,0.5499156890579335,15
BORBOREMA,350740,0.73,2.337491,16278,552.256,0.2947546065592769,0,0.2222222222222222,0.34543683902255395,0.45152073500028705,0.256527972576921,25
BOTUCATU,350750,0.8,3.1925209999999997,149718,1482.642,1.0098054688859481,0.02564102564102564,0.15384615384615385,0.4300794690555859,0.4628319310152301,0.6033188514251978,41
BRAGANÇA PAULISTA,350760,0.776,3.7813449999999995,172346,512.584,3.3622976916954106,0.015015015015015015,0.07507507507507508,0.40197001443263175,0.41201714604735024,0.2973252564776119,35
BREJO ALEGRE,350775,0.71,2.927106,2911,105.689,0.2754307449214204,0,0,0.30115887844744976,0.34793043354610886,0.3125861289343141,28
BRODOWSKI,350780,0.755,2.720314,25605,278.458,0.9195282591988737,0,0,0.3348850920939633,0.36340399414304786,0.26046106818494175,35
BROTAS,350790,0.74,2.7225669999999997,24862,1101.373,0.2257364217208884,0,0.07692307692307693,0.3380876394009061,0.38410498372214663,0.20439687087673902,42
BURITAMA,350810,0.763,3.7385309999999996,17414,326.921,0.5326669134133323,0,0.22916666666666666,0.3506308266310847,0.4403125794242845,0.3787814398368342,32
BURITIZAL,350820,0.735,4.001923000000001,4547,266.42,0.1706703700923354,0,0.5,0.31964485734920806,0.3116780765707322,0.26443591343509826,59
CABRÁLIA PAULISTA,350830,0.694,1.9260490000000001,4222,239.974,0.17593572637035682,0,0,0.3820587603372145,0.45494869331667637,0.38463722782225923,24
CABREÚVA,350840,0.738,9.551816,51130,260.234,1.9647701683869137,0.047619047619047616,0.1111111111111111,0.28063799609918644,0.24230558796426027,0,41
