Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana
ADAMANTINA,350010,0.79,3.096266,35153,411.987,0.8532550784369409,0.04120443740095087,0.12321711568938193,0.3682354368849443,0.4302140994811319,0.4186959569921577,39
ADOLFO,350020,0.73,2.586775,3545,211.055,0.16796569614555448,0.03287671232876712,0.10410958904109589,0.5627602336137272,0.6711711972213126,0.6958502402034054,42
AGUAÍ,350030,0.715,2.804103,36981,474.554,0.7792790704535206,0.032740501212611156,0.07154405820533549,0.2878297439131069,0.3387456394112689,0.20306742700727534,38
ÁGUAS DA PRATA,350040,0.781,2.068388,8262,142.673,0.5790864424242849,0.03225806451612903,0.11662531017369727,0.3376498584417877,0.41972380368484624,0.35425525148272835,39
ÁGUAS DE LINDÓIA,350050,0.745,2.642734,18908,60.126,3.1447294015899945,0.025874125874125874,0.07202797202797202,0.4055900367769133,0.42135160548924494,0.25231922062885953,39
ÁGUAS DE SANTA BÁRBARA,350055,0.757,2.762094,6142,404.463,0.1518556703579808,0.032432432432432434,0.04594594594594595,0.3858655501041345,0.4126342713709758,0.3514580387472232,39
ÁGUAS DE SÃO PEDRO,350060,0.854,4.02209,3588,3.612,9.933554817275747,0.028938906752411574,0.06430868167202572,0.4755726012772303,0.5771502775334294,0.774438423476777,41
AGUDOS,350070,0.745,5.951301,37582,966.708,0.38876268738853925,0.024682395644283123,0.0838475499092559,0.4478513739173518,0.42160293061693555,0.25323136389271583,38
ALAMBARI,350075,0.712,1.698163,6231,159.6,0.3904135338345865,0.008522727272727272,0.06818181818181818,0.29690923525993795,0.33147419237937376,0.12503133097194613,38
ALFREDO MARCONDES,350080,0.741,2.0104349999999998,4201,118.915,0.3532775511920279,0.07317073170731707,0.3333333333333333,0.4346564374424963,0.5404030808097199,0.592353848086621,44
ALTAIR,350090,0.687,2.584248,4211,313.007,0.13453373247243672,0.04824561403508772,0.14035087719298245,0.23346926733143708,0.3201455689875698,0.32052705974563095,38
ALTINÓPOLIS,350100,0.73,3.0792080000000004,16221,928.956,0.17461537467867153,0.07854406130268199,0.12260536398467432,0.37852960607503017,0.49638564791097717,0.4729893497150713,39
ALTO ALEGRE,350110,0.7,2.6207290000000003,4078,318.574,0.1280079353619567,0.07203389830508475,0.1483050847457627,0.387274543467727,0.46925503331150314,0.48461314995864535,43
ALUMÍNIO,350115,0.766,11.388793,18903,83.66,2.2595027492230457,0.03506787330316742,0.1414027149321267,0.29158135243410455,0.3387290476015407,0.13748713314302954,40
ÁLVARES FLORENCE,350120,0.728,3.22457,3616,362.411,0.09977622092044668,0.018433179723502304,0.08064516129032258,0.4442534335372845,0.5405370290966995,0.5149851963102908,40
ÁLVARES MACHADO,350130,0.758,2.137406,25078,347.647,0.7213639122443167,0.03654292343387471,0.10614849187935035,0.3239432064648355,0.37587209691435136,0.2678614634916475,39
ÁLVARO DE CARVALHO,350140,0.688,0.963245,5320,153.662,0.34621441865913494,0.027777777777777776,0.06666666666666667,0.5341386267930426,0.5897960064568939,0.22204798039469942,31.5
ALVINLÂNDIA,350150,0.722,1.619038,3251,84.879,0.383015822523828,0.10714285714285714,0.4166666666666667,0.30118088569109414,0.3749152052031896,0.24613600074072825,45.5
AMERICANA,350160,0.811,4.779348000000001,244370,133.912,18.248551287412628,0.03327112426797091,0.08591286440568892,0.3247725680381867,0.338617081494751,0.2032160211071778,40
AMÉRICO BRASILIENSE,350170,0.751,2.4008700000000003,41545,122.958,3.378796011646253,0.019680851063829788,0.3797872340425532,0.23458054469502548,0.2677229240195076,0.21607534405684192,38
AMÉRICO DE CAMPOS,350180,0.745,1.976704,5993,252.876,0.23699362533415588,0.026573426573426574,0.16643356643356644,0.34021027429989026,0.4527823659212308,0.46371604181920223,43
AMPARO,350190,0.785,6.480487999999999,73145,445.323,1.64251565717468,0.028376139188069593,0.04971002485501243,0.35279294781876347,0.40086738683414,0.29755069723875455,38
ANALÂNDIA,350200,0.754,3.729853,5115,325.953,0.15692446457004539,0.01098901098901099,0.13186813186813187,0.2776564408687686,0.3255680075039186,0.20452617559853023,38
ANDRADINA,350210,0.779,3.366169,57245,964.226,0.5936886165691446,0.04165539626724371,0.17040843927508792,0.3639278881613473,0.4035602721118252,0.28351578278784556,40
ANGATUBA,350220,0.719,4.038656,25724,1027.288,0.250406896605431,0.024458032240133407,0.2028904947192885,0.3934334588204075,0.3315957686392738,0.13633383384536113,39
ANHEMBI,350230,0.721,2.714444,6911,736.557,0.0938284477643957,0.0371900826446281,0.12396694214876033,0.28444260959057494,0.3321492674109563,0.21728077389763206,38
ANHUMAS,350240,0.741,1.831706,4172,320.84,0.13003366163819974,0.027586206896551724,0.08275862068965517,0.33803002077189986,0.42413488647844183,0.26591341498632415,40
APARECIDA,350250,0.755,2.9969650000000003,36211,120.89,2.9953676896352057,0.06134453781512605,0.1672268907563025,0.32373419563833333,0.31902753455323235,0.17971343714113922,43
APARECIDA D'OESTE,350260,0.721,3.036595,4122,179.004,0.23027418381712142,0.021479713603818614,0.12649164677804295,0.7660576593445101,0.8254011781425101,0.6487527844651226,41
APIAÍ,350270,0.71,2.4247229999999997,24081,974.322,0.24715648420132155,0.05303030303030303,0.08143939393939394,0.36015802051850593,0.42202048099451056,0.19908719405187023,37
ARAÇARIGUAMA,350275,0.704,14.966866,23343,145.204,1.6076003415883857,0.03535353535353535,0.09740259740259741,0.2960196770343075,0.27388158124855416,0.04699770520688753,37
ARAÇATUBA,350280,0.788,3.7521169999999997,199210,1167.126,1.7068422775261627,0.037105245208375964,0.10735966168747016,0.35065905311141676,0.3620613041254104,0.29228576637095216,39
ARAÇOIABA DA SERRA,350290,0.776,2.573156,35389,255.327,1.3860265463503663,0.0341726618705036,0.13848920863309352,0.2916371300073351,0.30736393580150045,0.19440155939435572,40
ARAMINA,350300,0.74,2.2669330000000003,5689,202.829,0.2804825739908987,0.05421686746987952,0.08433734939759036,0.35463432569787423,0.4394709309300181,0.3211176262319551,35
ARANDU,350310,0.685,1.852228,6373,285.908,0.22290387117534313,0.02729044834307992,0.02729044834307992,0.3728824462389999,0.45157372204687907,0.26343720232887613,36
ARAPEÍ,350315,0.68,1.239056,2452,156.903,0.1562748959548256,0.015748031496062992,0.07874015748031496,0.3738111155020208,0.4642898271567797,0.41093114330529396,44
ARARAQUARA,350320,0.815,4.025393,240542,1003.625,2.3967318470544274,0.02183277853925984,0.15831212061875857,0.3610369408266023,0.3934512583548348,0.3040875718521546,38
ARARAS,350330,0.781,4.186392,136739,644.831,2.1205401105095754,0.022487539121363163,0.09064564738611336,0.3207953220338778,0.3847058043178795,0.22527211342906023,38
