Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana
ADAMANTINA,350010,0.79,3.096266,35153,411.987,0.8532550784369409,0.037208039109179795,0.12357414448669202,0.3682354368849443,0.4302140994811319,0.4186959569921577,39
ADOLFO,350020,0.73,2.586775,3545,211.055,0.16796569614555448,0.029644268774703556,0.1007905138339921,0.5627602336137272,0.6711711972213126,0.6958502402034054,42
AGUAÍ,350030,0.715,2.804103,36981,474.554,0.7792790704535206,0.03129702076436955,0.08516400842612097,0.2878297439131069,0.3387456394112689,0.20306742700727534,39
ÁGUAS DA PRATA,350040,0.781,2.068388,8262,142.673,0.5790864424242849,0.04118616144975288,0.13509060955518945,0.3376498584417877,0.41972380368484624,0.35425525148272835,40
ÁGUAS DE LINDÓIA,350050,0.745,2.642734,18908,60.126,3.1447294015899945,0.02462022001047669,0.09009952854897853,0.4055900367769133,0.42135160548924494,0.25231922062885953,39
ÁGUAS DE SANTA BÁRBARA,350055,0.757,2.762094,6142,404.463,0.1518556703579808,0.030874785591766724,0.0634648370497427,0.3858655501041345,0.4126342713709758,0.3514580387472232,41
ÁGUAS DE SÃO PEDRO,350060,0.854,4.02209,3588,3.612,9.933554817275747,0.027227722772277228,0.11633663366336634,0.4755726012772303,0.5771502775334294,0.774438423476777,42
AGUDOS,350070,0.745,5.951301,37582,966.708,0.38876268738853925,0.023561507936507936,0.0954861111111111,0.4478513739173518,0.42160293061693555,0.25323136389271583,38
ALAMBARI,350075,0.712,1.698163,6231,159.6,0.3904135338345865,0.013223140495867768,0.06942148760330578,0.29690923525993795,0.33147419237937376,0.12503133097194613,37
ALFREDO MARCONDES,350080,0.741,2.0104349999999998,4201,118.915,0.3532775511920279,0.05333333333333334,0.30666666666666664,0.4346564374424963,0.5404030808097199,0.592353848086621,43.5
ALTAIR,350090,0.687,2.584248,4211,313.007,0.13453373247243672,0.05639097744360902,0.14285714285714285,0.23346926733143708,0.3201455689875698,0.32052705974563095,38
ALTINÓPOLIS,350100,0.73,3.0792080000000004,16221,928.956,0.17461537467867153,0.06165228113440197,0.11220715166461159,0.37852960607503017,0.49638564791097717,0.4729893497150713,39
ALTO ALEGRE,350110,0.7,2.6207290000000003,4078,318.574,0.1280079353619567,0.054380664652567974,0.14501510574018128,0.387274543467727,0.46925503331150314,0.48461314995864535,43
