Municipio,Codigo,IDHM,PIB_cap,Pop,area,densidade2021,let,Risco,dose1,dose2,reforco,Idade_mediana,Doses_diárias
ADAMANTINA,350010,0.79,3.096266,35153,411.987,0.8532550784369409,0.04120443740095087,0.12321711568938193,0.3452786577959818,0.4260709823934253,0.4187441979459479,39,125.14084507042253
ADOLFO,350020,0.73,2.586775,3545,211.055,0.16796569614555448,0.03287671232876712,0.10410958904109589,0.5495594485773094,0.6688214919388389,0.6958754808234976,42,24.81081081081081
AGUAÍ,350030,0.715,2.804103,36981,474.554,0.7792790704535206,0.032806804374240585,0.07168894289185905,0.29040675358764173,0.3464012274966918,0.20244513060942615,38,121.63312368972747
ÁGUAS DA PRATA,350040,0.781,2.068388,8262,142.673,0.5790864424242849,0.03233830845771144,0.11691542288557213,0.32578385098315304,0.42162937126675026,0.3543088402078509,39,33.50704225352113
ÁGUAS DE LINDÓIA,350050,0.745,2.642734,18908,60.126,3.1447294015899945,0.025874125874125874,0.07202797202797202,0.40460260748459453,0.4282008775213511,0.2521568584908403,39,103.94495412844037
ÁGUAS DE SANTA BÁRBARA,350055,0.757,2.762094,6142,404.463,0.1518556703579808,0.032432432432432434,0.04594594594594595,0.38273797206746873,0.4188403185618488,0.3508210179398109,39,36.57333333333333
ÁGUAS DE SÃO PEDRO,350060,0.854,4.02209,3588,3.612,9.933554817275747,0.028938906752411574,0.06430868167202572,0.4352066002196209,0.5739856813213083,0.7732745476373791,41,36.69565217391305
AGUDOS,350070,0.745,5.951301,37582,966.708,0.38876268738853925,0.024700326916091538,0.08427170359607701,0.37737586150678265,0.40997008400174867,0.2531804325642384,38,132.4133064516129
ALAMBARI,350075,0.712,1.698163,6231,159.6,0.3904135338345865,0.008620689655172414,0.06896551724137931,0.3035923128181167,0.34029112435205344,0.12510394241106837,38.5,32.04620462046205
ALFREDO MARCONDES,350080,0.741,2.0104349999999998,4201,118.915,0.3532775511920279,0.0743801652892562,0.33884297520661155,0.39155115624451664,0.542695993775141,0.592387677610798,43,33.59839357429719
ALTAIR,350090,0.687,2.584248,4211,313.007,0.13453373247243672,0.04824561403508772,0.14035087719298245,0.22457050897414563,0.3228526206530893,0.31957581283760744,38,38.224242424242426
ALTINÓPOLIS,350100,0.73,3.0792080000000004,16221,928.956,0.17461537467867153,0.07321772639691715,0.12138728323699421,0.36154775788684373,0.49512888517696013,0.47303308499737856,39,105.72569444444444
ALTO ALEGRE,350110,0.7,2.6207290000000003,4078,318.574,0.1280079353619567,0.07203389830508475,0.1483050847457627,0.38054214306873785,0.4711363208374292,0.48465592061113943,43,21.11049723756906
ALUMÍNIO,350115,0.766,11.388793,18903,83.66,2.2595027492230457,0.03494926719278467,0.14092446448703494,0.30114065882324187,0.3475455184349768,0.13733424127143667,40,70.8468899521531
ÁLVARES FLORENCE,350120,0.728,3.22457,3616,362.411,0.09977622092044668,0.018433179723502304,0.08064516129032258,0.43862882618670984,0.5430995517788766,0.515025446463397,40,20.010928961748633
ÁLVARES MACHADO,350130,0.758,2.137406,25078,347.647,0.7213639122443167,0.036521739130434785,0.10666666666666667,0.3229717681283024,0.3841522995573296,0.2675838256539049,39,90.22943722943722
